accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews
2,1,0,1,80,1,1125,10
2,1,1,1,195,2,1125,13
2,1,1,1,90,1,1125,47
4,2,2,2,250,1,60,15
2,1,1,1,225,2,14,0
3,1,1,1,135,2,365,44
2,1,1,1,259,3,365,3
2,1,0,2,60,5,19,0
2,1,1,1,60,1,1125,4
2,1,0,1,100,3,300,2
4,1,1,1,100,3,4,5
3,1,1,1,109,2,5,1
10,1.5,3,4,312,2,1125,1
4,1,0,2,175,3,30,8
4,2,2,2,375,1,8,0
2,1,1,1,71,2,1125,4
2,1,1,1,110,1,1125,0
2,1,1,1,75,2,1125,3
4,1,1,3,150,1,1125,11
4,1,1,1,120,2,4,20
4,1,1,2,119,3,1125,1
2,1,1,1,200,2,1125,5
12,3,5,6,600,1,1125,0
3,1,0,2,175,3,90,0
2,1,1,1,119,2,1125,1
3,1,1,2,209,1,1125,2
3,1,1,2,135,1,1125,0
2,1,1,1,45,1,1125,4
8,1,2,3,250,2,1125,5
2,1,1,1,80,2,1125,9
2,1,1,1,110,1,1125,0
4,1,1,3,150,1,1125,5
1,1,0,1,105,1,1125,15
6,2,1,3,119,1,1125,0
2,1,0,1,90,1,1125,1
12,3.5,4,4,340,2,1125,0
2,1,0,1,180,1,1125,0
4,1,1,2,265,1,1125,15
2,1,0,1,105,1,1125,2
4,3,1,2,240,3,30,0
2,1,1,1,98,4,1125,4
2,1,1,1,112,6,22,1
3,1,1,1,110,2,1125,114
4,1,1,3,140,1,1125,6
1,1,1,1,70,5,1125,4
5,1,1,4,229,3,365,16
4,2.5,2,2,162,1,1125,14
2,1,0,1,102,2,9,5
2,1.5,1,1,73,2,1125,40
4,1,1,2,190,2,1125,15
6,1,1,3,149,2,1125,215
2,1.5,1,1,80,2,1125,1
2,1.5,1,1,99,2,1125,6
2,1,0,1,120,1,31,89
5,1,1,2,150,3,14,18
14,3,5,7,599,1,1125,0
1,1,0,1,62,14,1125,1
2,1,1,1,50,1,1125,1
5,1.5,2,2,240,1,14,16
2,1,1,1,139,5,1125,6
2,1,0,1,150,1,1125,0
